,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
37,Chile,68831705.43,82080219.85,90702903.29,93854108.41,96686356.86,111508610.7,122006090.4,129947342.3,137876215.8,148599453.9,159553348.3,169469507,180211289.7,191248710.9,...
38,"China, P.R.: Hong Kong",1412125,1503351,1650756,1707487,1659245,1776332,1934430,2037059,2138305,2260005,2398280,2490617,2662836,2842883,...
39,"China, P.R.: Macao",96872,118338,147382,167760,171467,225051,294347,343818,411865,442070,362213,362876,407328,444666,...
40,"China, P.R.: Mainland",18919038.68,22120650.31,27169932.44,31993584.73,34988333.55,41070826.38,48603778.11,54098889.05,59696286.18,64718168.09,69910944.14,74563240.43,81526030,88442600,...
41,Colombia,336940937.7,380591648.1,427518881.8,475617406,501781836.7,543187689.8,618117720.6,665883659,713626705.2,762903000,804692000,863782000,920194000,978477060.6,...
42,Comoros,259355.6803,269766.8814,285627,306288,319332,336947.2655,361596.4249,388983.7763,413476.6296,425712.9868,438331,456756,470734,492860,...
43,"Congo, Democratic Republic of",5670065,6767519.545,8648878.514,11067568.51,15101187.9,19536676.93,23759424.58,26954556.93,30051179.4,33223988.46,35111225.97,37517392.39,55676093.13,76495500.37,...
44,"Congo, Republic of",3210700,4042600,3563600,4556900,4409732.785,6082519.845,6982455.207,6971922.577,6927241.619,6959940.092,5056481.706,4615600,5188275.735,6475853.475,...
45,Costa Rica,9532875.007,11555641.5,13816350.76,16109612.04,17521034.88,19596936.68,21370733.29,23371405.92,24860943.5,27226883.44,29281373.31,31136210.5,33014818.77,34693417.65,...
46,Côte d'Ivoire,9011755,9307908,9750029,10848040,11463500,12324723,12112687,13677317,15445759,17461003,19595381,20931397,22150799,23899782.66,...
47,Croatia,270014.8525,294444.7492,322791.3716,346735.1606,330770.753,328824.1636,333214.8029,330509.4132,331209.0614,331342.7714,339696.0732,351168.6596,366426.1279,382965.1787,...
48,Cyprus,14822.306,16000.018,17511.579,19009.576,18675.493,19409.974,19803.033,19440.777,17994.967,17408.532,17826.948,18872.872,20039.696,21137.812,...
49,Czech Republic,3264931,3512798,3840117,4024117,3930409,3962464,4033755,4059912,4098128,4313789,4595783,4767990,5047267,5323556,...
50,Denmark,1585984.17,1682260.207,1738845.296,1801469.912,1722142.505,1810925.601,1846853.613,1895002.254,1929677.034,1981164.991,2036356.207,2107808.218,2175105.8,2245954.115,...
51,Djibouti,176812.4717,191819.3028,211462.462,245350.3171,253191.3778,274114.8301,309035.1737,337661.6826,363051.509,393864.981,434611.5201,465375.4162,491727.7938,519540.455,...
52,Dominica,983.4887,1053.6754,1137.7148,1237.1135,1320.5007,1333.3259,1352.7683,1312.1946,1355.344,1413.8991,1460.2428,1553.7642,1413.5729,1440.4167,...
53,Dominican Republic,1083445.001,1261399.668,1458416.518,1661642.68,1736041.064,1983201.682,2210213.934,2386016.247,2619769.697,2925665.102,3205655.136,3487292.513,3802655.772,4235846.767,...
54,Ecuador,41507.085,46802.044,51007.777,61762.635,62519.686,69555.367,79276.664,87924.544,95129.659,101726.331,99290.381,99937.696,104295.862,108398.058,...
55,Egypt,566219.6763,649496.5535,783139.1177,941596.509,1095847.997,1268710.606,1441678.362,1674700,1860400,2130000,2443900,2709400,3470000,4437400,...
56,El Salvador,14698.00142,15999.88638,17011.75085,17986.88624,17601.61601,18447.92244,20283.78366,21386.15302,21990.96205,22593.4724,23438.23794,24154.11197,24927.9737,26056.94493,...
57,Equatorial Guinea,4316629.317,5274146,6264841,8844107,7095919,8072293,10064619,11430511,10840521,10746852,7795419.585,6661365,7152122,7625212.23,...
58,Eritrea,13063.81883,14411.26738,15682.2,14186.4,19936.4,24438.8,31749.4,34668.5,30103.5,40040.1,30826.3,33367.4,28935.3,30252.4,...
59,Estonia,11336.4642,13560.5217,16398.7429,16638.2865,14211.8107,14863.0854,16829.2036,18050.7372,19033.3924,20179.9895,20782.215,21693.6351,23775.8242,26035.854,...
