,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
168,Suriname,6105.915,7206.323,8060.53,9698.054,10638.423,11993.0156,14451.8811,16433.675,16980.662,17294.421,16490.52051,20420.22214,25598.55037,...,...
169,Sweden,2912659,3100495,3298111,3397143,3330277,3570093,3719138,3732539,3808314,3980966,4248213,4415799,4621046,4833792,...
170,Switzerland,508900,540289,576088,600431,589213,608831,621256,626414,638177,649718,654258,661504,669542,689545,...
171,Syrian Arab Republic,1506440,1726404,2020838,2448060,2520705,2791775,...,...,...,...,...,...,...,...,...
172,Tajikistan,7201.141474,9272.2,12779.7,17609.3,20622.8,24704.7,30069.3,36161.1,40524.5,45605.2,48401.6,54471.1,61093,68844,...
173,Tanzania,19387989.63,23633853.88,27155835.39,33236643.72,38269962.17,44467108.31,53522183.47,62318658.61,72977199.82,82603387.28,94349315.56,108362324.3,118744498.4,129364353.3,...
174,Thailand,7614409,8400655,9076307,9706932,9658656,10808151,11306894,12155392,12771232,13230823,12436459.01,12765819.89,13590061.97,16353116,...
175,"Timor-Leste, Dem. Rep. of",1813.7,2657.9,2881,4391.3,3199.6,3998.7,5681.9,6671,5649.8,4045.4,3104.4,2521,2774.653373,...,...
176,Togo,1202931,1228528,1274416,1482360,1589243,1696830,1824891,1977542,2134464,2259047,2471777,2643472.375,2769476.065,...,...
177,Tonga,549.55,596,632.7291729,664.041474,688.2330885,743.8899803,787.0855729,790.1836612,793.4880766,821.9682359,868.7017424,953.446349,1036.074146,1073.053625,...
178,Trinidad and Tobago,101862.9101,117411.609,138819.8725,177319.4017,123460.7662,143588.6435,165291.9362,163902.2155,173074.8336,174098.7686,154694.5928,151043.3502,154430.9564,...,...
179,Tunisia,41870.998,45756.16656,49857.49905,55267.79979,58890.32244,63054.793,64492.23112,70354.43576,75151.55678,80816.04652,84648.2,89804.4,96660.82,...,...
180,Turkey,673702.943,789227.555,880460.88,994782.858,999191.849,1160013.978,1394477.166,1569672.114,1809713.087,2044465.876,2338647.494,2608525.749,3110650.155,3724387.936,...
181,Turkmenistan,17860.7,22248.9,27000.2,49470,57611,64362,83315,100218,111713,124044,125298.7,126630,132741.9,...,...
182,Tuvalu,28.38852845,30.40150234,32.28567625,36.08614708,34.72657779,34.50244902,37.53111701,36.38336149,38.85194864,41.37017777,47.2434912,49.16965191,52.54025355,...,...
183,Uganda,22906091.73,26621462.95,31160542.07,39821278.97,50535226.71,58957000,66747000,71788000,78208500,86470000,95287000,104126000,114212500,124203000,...
184,Ukraine,457325,565018,751106,990819,947042,1079346,1299991,1404669,1465198,1586915,1988544,2385367,2983882,3558706,...
185,United Arab Emirates,663317.6511,815722.9673,947197.0563,1158580.526,931152.675,1064244.42,1287821.099,1375684.19,1432669.898,1480521.395,1315250.583,1311248.335,1405006.834,...,...
186,United Kingdom,1396274,1474923,1549821,1589931,1547563,1601927,1659784,1712321,1782109,1861964,1916896,1995479,2071667,2144304,...
187,United States,13036637,13814609,14451859,14712845,14448932.5,14992052,15542581.75,16197007.25,16784850.5,17527258.25,18224780.25,18715040.5,19519423.5,20580223,...
188,Uruguay,425018.4481,471344.1234,549469.5503,636150.9085,714523.4457,808078.5028,926356.1452,1041210.522,1178331.709,1330508.36,1455848.221,1589195.374,1707108.631,1831132.171,...
189,Uzbekistan,19511098.49,25436574.28,34536827.83,46251402.43,60092257.17,75320468.94,94200622.09,117121772.1,144548256.9,177153888,210183364.6,242495443.7,302536932.4,407514470.1,...
190,Vanuatu,43145,48611,53927,61607,65117,67911,70873,72415,75803,79109,82798,87250,93732.8495,...,...
191,"Venezuela, Republica Bolivariana de",304086.815,393926.24,494591.535,677593.637,707262.549,1016834.748,1357487.061,1635451.06,2245844,3031242.431,6025329.791,23751849.49,...,...,...
192,Vietnam,914000838.5,1061564519,1246769289,1616047129,1809148950,2157828497,2779880236,3245419227,3584261592,3937856083,4192862309,4502732989,5005975487,5.53527E+12,...
193,West Bank and Gaza,4831.8,4910.1,5505.8,6673.5,7268.2,8913.1,10465.4,11279.4,12476,12715.6,12673,13425.7,14498.1,...,...
194,"Yemen, Republic of",3208501,3760038.227,4308635.62,5375824.694,5097593.176,6786813.13,6996908.142,7586549.616,8684829.513,9289390.402,9797602.984,8890543.201,10005656.07,...,...
195,Zambia,37189.30246,45964.23826,56262.97434,67088.70321,77348.34812,97215.91537,114029.6659,131271.9029,151330.7829,167052.5003,183381.0719,216098.0762,244704.4541,...,...
196,Zimbabwe,8075.010956,7297.712181,6993.507303,5974.266679,9666,12042,14102,17115,19091,19496,19963,20549,22041,...,...
197,Eastern Caribbean Currency Union (ECCU),11814.033,13180.115,14546.485,15303.14,14524.07,14437.242,14751.782,15046.108,15490.466,16248.003,...,...,...,...,...
198,West African Economic and Monetary Union (WAEMU),24967900,26349380,28127850,31762700,33335370,36031830,37815630,42004180,44792230,48009600,...,...,...,...,...
